CellID,Area_px2,Circularity,AspectRatio,Solidity,TextureContrast,FocusQuality
5,2336.00,0.9437,3.1899,0.5612,0.030644,0.000551
3,3772.00,0.9922,3.9304,0.4593,0.066376,0.000622
9,282.00,0.7768,1.5374,0.6667,0.000000,0.000488
4,361.00,0.9876,2.0000,1.0000,0.001453,0.000496
10,2744.00,0.8455,2.4248,0.3295,0.024346,0.000556
1,2455.00,0.9984,3.8074,0.6800,0.025194,0.000560
8,1925.00,0.9226,2.2475,0.5217,0.020833,0.000535
7,4340.00,0.8495,2.5099,0.4625,0.042878,0.000593
12,3925.00,0.9369,3.6496,0.5625,0.045422,0.000574
6,632.00,1.0000,1.1495,0.6667,0.000000,0.000504
